Javadoc coverage metrics,terça, 21 nov. 2023 21:43:07 WET
Method,JLOC
net.sf.freecol.client.control.ClientInputHandler.ClientInputHandler(FreeColClient),5
"net.sf.freecol.client.control.ClientInputHandler.handle(Connection, Message)",3
net.sf.freecol.client.control.ClientInputHandler.read(Connection),3
net.sf.freecol.client.control.ConnectController.ConnectController(FreeColClient),5
"net.sf.freecol.client.control.ConnectController.connect(String, String, int)",9
"net.sf.freecol.client.control.ConnectController.joinMultiplayerGame(String, int)",7
"net.sf.freecol.client.control.ConnectController.login(ServerState, Game, String, boolean, boolean)",28
net.sf.freecol.client.control.ConnectController.logout(LogoutReason),6
net.sf.freecol.client.control.ConnectController.mainTitle(),5
net.sf.freecol.client.control.ConnectController.newGame(),3
"net.sf.freecol.client.control.ConnectController.requestLogin(String, String, String, int)",12
net.sf.freecol.client.control.ConnectController.requestLogout(LogoutReason),7
"net.sf.freecol.client.control.ConnectController.startMultiplayerGame(Specification, boolean, InetAddress, int)",9
net.sf.freecol.client.control.ConnectController.startSavedGame(File),6
net.sf.freecol.client.control.ConnectController.startSinglePlayerGame(Specification),8
net.sf.freecol.client.control.FreeColClientHolder.FreeColClientHolder(FreeColClient),5
net.sf.freecol.client.control.FreeColClientHolder.askServer(),5
net.sf.freecol.client.control.FreeColClientHolder.currentPlayerIsMyPlayer(),5
net.sf.freecol.client.control.FreeColClientHolder.getClientOptions(),5
net.sf.freecol.client.control.FreeColClientHolder.getConnectController(),5
net.sf.freecol.client.control.FreeColClientHolder.getFreeColClient(),5
net.sf.freecol.client.control.FreeColClientHolder.getFreeColServer(),5
net.sf.freecol.client.control.FreeColClientHolder.getGUI(),5
net.sf.freecol.client.control.FreeColClientHolder.getGame(),5
net.sf.freecol.client.control.FreeColClientHolder.getMap(),5
net.sf.freecol.client.control.FreeColClientHolder.getMyPlayer(),5
net.sf.freecol.client.control.FreeColClientHolder.getSpecification(),5
net.sf.freecol.client.control.FreeColClientHolder.igc(),5
net.sf.freecol.client.control.FreeColClientHolder.pgc(),5
net.sf.freecol.client.control.InGameController.InGameController(FreeColClient),5
net.sf.freecol.client.control.InGameController.MoveMode.maximize(MoveMode),0
net.sf.freecol.client.control.InGameController.MoveMode.minimize(MoveMode),0
net.sf.freecol.client.control.InGameController.abandonColony(Colony),8
net.sf.freecol.client.control.InGameController.addPlayerHandler(List<Player>),5
"net.sf.freecol.client.control.InGameController.animateAttackHandler(Unit, Unit, Tile, Tile, boolean)",9
"net.sf.freecol.client.control.InGameController.animateMoveHandler(Unit, Tile, Tile)",7
"net.sf.freecol.client.control.InGameController.askAssignTradeRoute(Unit, TradeRoute)",7
"net.sf.freecol.client.control.InGameController.askClaimTile(Player, Tile, FreeColGameObject, int)",9
net.sf.freecol.client.control.InGameController.askClearGotoOrders(Unit),7
"net.sf.freecol.client.control.InGameController.askEmbark(Unit, Unit)",7
"net.sf.freecol.client.control.InGameController.askEmigrate(Europe, int)",10
"net.sf.freecol.client.control.InGameController.askLoadGoods(Location, GoodsType, int, Unit)",9
"net.sf.freecol.client.control.InGameController.askSetDestination(Unit, Location)",7
"net.sf.freecol.client.control.InGameController.askUnloadGoods(GoodsType, int, Unit)",8
"net.sf.freecol.client.control.InGameController.assignTeacher(Unit, Unit)",9
"net.sf.freecol.client.control.InGameController.assignTradeRoute(Unit, TradeRoute)",10
"net.sf.freecol.client.control.InGameController.attackRanged(Unit, Tile)",0
net.sf.freecol.client.control.InGameController.autoSaveGame(),5
"net.sf.freecol.client.control.InGameController.boardShip(Unit, Unit)",10
net.sf.freecol.client.control.InGameController.buildColony(Unit),8
"net.sf.freecol.client.control.InGameController.buyGoods(GoodsType, int, Unit)",11
"net.sf.freecol.client.control.InGameController.changeState(Unit, UnitState)",9
net.sf.freecol.client.control.InGameController.changeView(Tile),5
"net.sf.freecol.client.control.InGameController.changeView(Unit, boolean)",7
"net.sf.freecol.client.control.InGameController.changeWorkImprovementType(Unit, TileImprovementType)",9
"net.sf.freecol.client.control.InGameController.changeWorkType(Unit, GoodsType)",9
net.sf.freecol.client.control.InGameController.chat(String),8
"net.sf.freecol.client.control.InGameController.chatHandler(String, String, Color, boolean)",8
net.sf.freecol.client.control.InGameController.checkCashInTreasureTrain(Unit),9
"net.sf.freecol.client.control.InGameController.chooseFoundingFather(List<FoundingFather>, FoundingFather)",7
net.sf.freecol.client.control.InGameController.chooseFoundingFatherHandler(List<FoundingFather>),5
"net.sf.freecol.client.control.InGameController.claimTile(Tile, FreeColGameObject)",9
net.sf.freecol.client.control.InGameController.clearGotoOrders(Unit),9
net.sf.freecol.client.control.InGameController.clearOrders(Unit),9
net.sf.freecol.client.control.InGameController.clearSpeciality(Unit),8
"net.sf.freecol.client.control.InGameController.closeColony(Colony, boolean)",6
net.sf.freecol.client.control.InGameController.closeHandler(String),5
"net.sf.freecol.client.control.InGameController.continueIgnoreMessage(String, Turn)",8
net.sf.freecol.client.control.InGameController.declareIndependence(),7
net.sf.freecol.client.control.InGameController.deleteTradeRoute(TradeRoute),8
"net.sf.freecol.client.control.InGameController.diplomacyHandler(FreeColGameObject, FreeColGameObject, DiplomaticTrade)",7
net.sf.freecol.client.control.InGameController.disbandUnit(Unit),8
"net.sf.freecol.client.control.InGameController.displayChat(String, String, Color, boolean)",8
"net.sf.freecol.client.control.InGameController.displayModelMessages(boolean, boolean)",7
net.sf.freecol.client.control.InGameController.displayTurnReportMessages(),3
net.sf.freecol.client.control.InGameController.doEndTurn(boolean),5
net.sf.freecol.client.control.InGameController.doExecuteGotoOrders(),6
"net.sf.freecol.client.control.InGameController.emigrate(Player, int, int, boolean)",8
"net.sf.freecol.client.control.InGameController.emigration(Player, int, boolean)",14
net.sf.freecol.client.control.InGameController.endTurn(boolean),7
"net.sf.freecol.client.control.InGameController.equipUnitForRole(Unit, Role, int)",10
"net.sf.freecol.client.control.InGameController.error(StringTemplate, String)",6
"net.sf.freecol.client.control.InGameController.errorHandler(StringTemplate, String)",6
net.sf.freecol.client.control.InGameController.executeGotoOrders(),8
"net.sf.freecol.client.control.InGameController.featureChangeHandler(FreeColGameObject, List<FreeColObject>, boolean)",7
net.sf.freecol.client.control.InGameController.fireChanges(ObjectWas...),5
"net.sf.freecol.client.control.InGameController.firstContact(Player, Player, Tile, boolean)",10
"net.sf.freecol.client.control.InGameController.firstContactHandler(Player, Player, Tile, int)",9
"net.sf.freecol.client.control.InGameController.followTradeRoute(Unit, List<ModelMessage>)",9
net.sf.freecol.client.control.InGameController.fountainOfYouthHandler(int),5
net.sf.freecol.client.control.InGameController.gameEndedHandler(String),5
"net.sf.freecol.client.control.InGameController.getMissionaryChoice(Unit, IndianSettlement, Direction)",7
"net.sf.freecol.client.control.InGameController.getNationAt(Tile, Direction)",11
net.sf.freecol.client.control.InGameController.getSaveGameString(Game),6
"net.sf.freecol.client.control.InGameController.getSettlementAt(Tile, Direction)",9
"net.sf.freecol.client.control.InGameController.goToTile(Unit, PathNode)",9
net.sf.freecol.client.control.InGameController.highScore(Boolean),9
"net.sf.freecol.client.control.InGameController.highScoresHandler(String, List<HighScore>)",6
"net.sf.freecol.client.control.InGameController.ignoreMessage(ModelMessage, boolean)",10
"net.sf.freecol.client.control.InGameController.inciteHandler(Unit, IndianSettlement, Player, int)",8
"net.sf.freecol.client.control.InGameController.indianDemandHandler(Unit, Colony, GoodsType, int)",8
net.sf.freecol.client.control.InGameController.invokeLater(Runnable),5
net.sf.freecol.client.control.InGameController.joinColony(Unit),6
net.sf.freecol.client.control.InGameController.leaveShip(Unit),9
"net.sf.freecol.client.control.InGameController.loadCargo(Goods, Unit)",9
net.sf.freecol.client.control.InGameController.loadGame(),8
"net.sf.freecol.client.control.InGameController.loadUnitAtStop(Unit, LogBuilder)",7
"net.sf.freecol.client.control.InGameController.logoutHandler(Player, LogoutReason)",6
"net.sf.freecol.client.control.InGameController.lootCargo(Unit, List<Goods>, String)",10
"net.sf.freecol.client.control.InGameController.lootCargoHandler(Unit, List<Goods>, String)",7
"net.sf.freecol.client.control.InGameController.monarchAction(MonarchAction, boolean)",9
"net.sf.freecol.client.control.InGameController.monarchActionHandler(MonarchAction, StringTemplate, String)",7
"net.sf.freecol.client.control.InGameController.moveAttack(Unit, Direction)",8
"net.sf.freecol.client.control.InGameController.moveAttackSettlement(Unit, Direction)",8
"net.sf.freecol.client.control.InGameController.moveAutoload(Unit, List<Unit>)",7
"net.sf.freecol.client.control.InGameController.moveAwayFromEurope(Unit, Location)",7
"net.sf.freecol.client.control.InGameController.moveDiplomacy(Unit, Direction, DiplomaticTrade)",9
"net.sf.freecol.client.control.InGameController.moveDirection(Unit, Direction, boolean)",10
"net.sf.freecol.client.control.InGameController.moveDisembark(Unit, Direction)",10
"net.sf.freecol.client.control.InGameController.moveEmbark(Unit, Direction)",8
"net.sf.freecol.client.control.InGameController.moveExplore(Unit, Direction)",8
"net.sf.freecol.client.control.InGameController.moveHighSeas(Unit, Direction)",9
"net.sf.freecol.client.control.InGameController.moveLearnSkill(Unit, Direction)",10
"net.sf.freecol.client.control.InGameController.movePath(Unit, PathNode)",7
"net.sf.freecol.client.control.InGameController.moveScoutColony(Unit, Direction)",11
"net.sf.freecol.client.control.InGameController.moveScoutIndianSettlement(Unit, Direction)",11
"net.sf.freecol.client.control.InGameController.moveSpy(Unit, Direction)",7
"net.sf.freecol.client.control.InGameController.moveTile(Unit, Direction)",8
"net.sf.freecol.client.control.InGameController.moveTo(Unit, Location)",10
"net.sf.freecol.client.control.InGameController.moveToDestination(Unit, List<ModelMessage>)",9
"net.sf.freecol.client.control.InGameController.moveTowardEurope(Unit, Europe)",7
"net.sf.freecol.client.control.InGameController.moveTrade(Unit, Direction)",8
"net.sf.freecol.client.control.InGameController.moveTribute(Unit, int, Direction)",8
"net.sf.freecol.client.control.InGameController.moveUnit(Unit, Direction)",10
"net.sf.freecol.client.control.InGameController.moveUseMissionary(Unit, Direction)",8
"net.sf.freecol.client.control.InGameController.nameNewRegion(Tile, Unit, Region, String)",11
net.sf.freecol.client.control.InGameController.nationSummary(Player),9
"net.sf.freecol.client.control.InGameController.nationSummaryHandler(Player, NationSummary)",6
"net.sf.freecol.client.control.InGameController.nativeTrade(NativeTrade, TradeAction, NativeTradeItem, StringTemplate)",8
"net.sf.freecol.client.control.InGameController.nativeTradeHandler(NativeTradeAction, NativeTrade)",6
"net.sf.freecol.client.control.InGameController.newLandName(Unit, String)",9
"net.sf.freecol.client.control.InGameController.newLandNameHandler(Unit, String)",6
"net.sf.freecol.client.control.InGameController.newRegionName(Region, Tile, Unit, String)",9
"net.sf.freecol.client.control.InGameController.newRegionNameHandler(Region, Tile, Unit, String)",8
net.sf.freecol.client.control.InGameController.newTradeRoute(Player),9
net.sf.freecol.client.control.InGameController.newTradeRouteHandler(TradeRoute),5
net.sf.freecol.client.control.InGameController.newTurn(int),6
net.sf.freecol.client.control.InGameController.newTurnHandler(int),5
net.sf.freecol.client.control.InGameController.nextActiveUnit(),7
net.sf.freecol.client.control.InGameController.nextModelMessage(),9
"net.sf.freecol.client.control.InGameController.partialHandler(FreeColGameObject, Map<String, String>)",6
net.sf.freecol.client.control.InGameController.payArrears(GoodsType),9
net.sf.freecol.client.control.InGameController.payForBuilding(Colony),10
net.sf.freecol.client.control.InGameController.putOutsideColony(Unit),8
net.sf.freecol.client.control.InGameController.reapIgnoredMessages(Turn),5
net.sf.freecol.client.control.InGameController.reconnect(),7
net.sf.freecol.client.control.InGameController.reconnectHandler(),3
net.sf.freecol.client.control.InGameController.recruitUnitInEurope(int),8
"net.sf.freecol.client.control.InGameController.removeHandler(List<FreeColGameObject>, FreeColGameObject)",6
net.sf.freecol.client.control.InGameController.rename(Nameable),10
net.sf.freecol.client.control.InGameController.requireOurTurn(),6
net.sf.freecol.client.control.InGameController.saveAndQuit(),7
net.sf.freecol.client.control.InGameController.saveGame(),8
net.sf.freecol.client.control.InGameController.saveGame(File),6
"net.sf.freecol.client.control.InGameController.scoutSpeakToChiefHandler(Unit, IndianSettlement, String)",7
net.sf.freecol.client.control.InGameController.selectDestination(Unit),9
net.sf.freecol.client.control.InGameController.sellGoods(Goods),9
"net.sf.freecol.client.control.InGameController.setAIHandler(Player, boolean)",6
"net.sf.freecol.client.control.InGameController.setBuildQueue(Colony, List<BuildableType>)",9
net.sf.freecol.client.control.InGameController.setCurrentPlayer(Player),6
net.sf.freecol.client.control.InGameController.setCurrentPlayerHandler(Player),5
net.sf.freecol.client.control.InGameController.setDead(),5
net.sf.freecol.client.control.InGameController.setDeadHandler(Player),5
net.sf.freecol.client.control.InGameController.setGameConnected(),7
"net.sf.freecol.client.control.InGameController.setGoodsLevels(Colony, GoodsType)",9
net.sf.freecol.client.control.InGameController.setInDebugMode(),7
"net.sf.freecol.client.control.InGameController.setStanceHandler(Stance, Player, Player)",8
"net.sf.freecol.client.control.InGameController.showColonyPanel(Colony, Unit)",6
"net.sf.freecol.client.control.InGameController.showColonyPanelWithCarrier(Colony, Unit)",7
"net.sf.freecol.client.control.InGameController.showEmigrationDialog(Player, boolean, int)",7
"net.sf.freecol.client.control.InGameController.showEventPanel(String, String, String)",7
"net.sf.freecol.client.control.InGameController.showInformationPanel(FreeColObject, String)",6
"net.sf.freecol.client.control.InGameController.showInformationPanel(FreeColObject, StringTemplate)",6
"net.sf.freecol.client.control.InGameController.showNamingDialog(StringTemplate, String, Unit, DialogHandler<String>)",8
"net.sf.freecol.client.control.InGameController.showNegotiationDialog(Unit, Settlement, DiplomaticTrade, StringTemplate, Direction)",11
net.sf.freecol.client.control.InGameController.showStatusPanel(String),5
net.sf.freecol.client.control.InGameController.sound(String),5
net.sf.freecol.client.control.InGameController.spySettlementHandler(Tile),5
"net.sf.freecol.client.control.InGameController.startIgnoringMessage(String, Turn)",6
net.sf.freecol.client.control.InGameController.stopIgnoringMessage(String),5
net.sf.freecol.client.control.InGameController.trainUnitInEurope(UnitType),8
net.sf.freecol.client.control.InGameController.unload(Unit),8
"net.sf.freecol.client.control.InGameController.unloadCargo(Goods, boolean)",12
"net.sf.freecol.client.control.InGameController.unloadUnitAtStop(Unit, LogBuilder)",7
net.sf.freecol.client.control.InGameController.updateActiveUnit(Tile),11
"net.sf.freecol.client.control.InGameController.updateGUI(Tile, boolean)",7
net.sf.freecol.client.control.InGameController.updateHandler(List<FreeColObject>),5
net.sf.freecol.client.control.InGameController.updateTradeRoute(TradeRoute),8
net.sf.freecol.client.control.InGameController.victory(Boolean),6
net.sf.freecol.client.control.InGameController.waitUnit(),7
"net.sf.freecol.client.control.InGameController.work(Unit, WorkLocation)",9
net.sf.freecol.client.control.MapEditorController.MapEditorController(FreeColClient),5
net.sf.freecol.client.control.MapEditorController.createMiniMapThumbNail(),12
net.sf.freecol.client.control.MapEditorController.getDefaultSpecification(),5
net.sf.freecol.client.control.MapEditorController.getMapTransform(),6
net.sf.freecol.client.control.MapEditorController.loadGame(),4
net.sf.freecol.client.control.MapEditorController.loadGame(File),5
net.sf.freecol.client.control.MapEditorController.newMap(),7
net.sf.freecol.client.control.MapEditorController.requireNativeNations(Game),5
net.sf.freecol.client.control.MapEditorController.saveMapEditorGame(),4
net.sf.freecol.client.control.MapEditorController.saveMapEditorGame(File),5
net.sf.freecol.client.control.MapEditorController.setMapTransform(MapTransform),6
net.sf.freecol.client.control.MapEditorController.startMapEditor(),6
net.sf.freecol.client.control.MapEditorController.transform(Tile),6
net.sf.freecol.client.control.MapTransform.getDescriptionPanel(),9
net.sf.freecol.client.control.MapTransform.setDescriptionPanel(JPanel),6
net.sf.freecol.client.control.MoveTest.tearDown(),0
net.sf.freecol.client.control.MoveTest.testSimpleMove(),0
net.sf.freecol.client.control.PreGameController.PreGameController(FreeColClient),5
net.sf.freecol.client.control.PreGameController.addPlayerHandler(List<Player>),5
"net.sf.freecol.client.control.PreGameController.chatHandler(String, String, Color, boolean)",8
"net.sf.freecol.client.control.PreGameController.errorHandler(StringTemplate, String)",6
"net.sf.freecol.client.control.PreGameController.logoutHandler(Player, LogoutReason)",6
"net.sf.freecol.client.control.PreGameController.readyHandler(Player, boolean)",6
net.sf.freecol.client.control.PreGameController.requestLaunch(),4
net.sf.freecol.client.control.PreGameController.sendChat(String),5
"net.sf.freecol.client.control.PreGameController.setAvailable(Nation, NationState)",6
"net.sf.freecol.client.control.PreGameController.setAvailableHandler(Nation, NationState)",6
"net.sf.freecol.client.control.PreGameController.setColor(Nation, Color)",6
"net.sf.freecol.client.control.PreGameController.setColorHandler(Nation, Color)",6
net.sf.freecol.client.control.PreGameController.setNation(Nation),5
net.sf.freecol.client.control.PreGameController.setNationType(NationType),5
net.sf.freecol.client.control.PreGameController.setNationTypeHandler(NationType),5
net.sf.freecol.client.control.PreGameController.setReady(boolean),6
net.sf.freecol.client.control.PreGameController.startGameHandler(),8
net.sf.freecol.client.control.PreGameController.startGameInternal(),6
net.sf.freecol.client.control.PreGameController.updateGameOptions(),4
net.sf.freecol.client.control.PreGameController.updateGameOptionsHandler(OptionGroup),5
net.sf.freecol.client.control.PreGameController.updateHandler(List<FreeColObject>),5
net.sf.freecol.client.control.PreGameController.updateMapGeneratorOptions(),4
net.sf.freecol.client.control.PreGameController.updateMapGeneratorOptionsHandler(OptionGroup),5
"net.sf.freecol.client.control.SoundController.SoundController(FreeColClient, boolean)",6
net.sf.freecol.client.control.SoundController.canPlaySound(),5
net.sf.freecol.client.control.SoundController.getSoundMixerLabelText(),7
"net.sf.freecol.client.control.SoundController.play(SoundPlayer, String)",0
net.sf.freecol.client.control.SoundController.playMusic(String),5
net.sf.freecol.client.control.SoundController.playSound(String),5
net.sf.freecol.client.control.SoundController.setDefaultPlaylist(List<File>),6
net.sf.freecol.client.gui.AllTests.suite(),0
"net.sf.freecol.client.gui.Canvas.Canvas(FreeColClient, GraphicsDevice, Dimension, MapViewer, MapControls)",9
"net.sf.freecol.client.gui.Canvas.addAsFrame(JComponent, boolean, PopupPosition, boolean)",11
"net.sf.freecol.client.gui.Canvas.addCentered(Component, Integer)",6
net.sf.freecol.client.gui.Canvas.addMapControls(),5
"net.sf.freecol.client.gui.Canvas.addToCanvas(Component, Integer)",6
"net.sf.freecol.client.gui.Canvas.addToLayer(Component, Integer)",6
"net.sf.freecol.client.gui.Canvas.adjustLocationForClearSpace(Point, int, int)",0
"net.sf.freecol.client.gui.Canvas.animationLabel(JLabel, boolean)",6
"net.sf.freecol.client.gui.Canvas.capSizeToMaximum(JInternalFrame, Dimension)",0
"net.sf.freecol.client.gui.Canvas.checkWindowed(GraphicsDevice, Dimension)",7
